Physical Activity Level,Dietary Habits,Sleep Duration (hours),Stress Level,Smoking Status,Alcohol Consumption,Caffeine Intake,Hydration Level,Work-Life Balance,Hobbies and Interests,Social Support,Mindfulness and Meditation Practice,Exposure to Natural Light,Technology Usage,Air Quality Exposure,Cluster_KModes
Active,Mediterranean,6,Low,Former Smoker,Regular,None,Insufficient,Good,Sports,Strong,Regular,Low,Moderate,Average,1
Moderate,Vegan,7,High,Smoker,None,Low,Insufficient,Excellent,Traveling,Weak,Regular,Low,Minimal,Average,2
Active,Omnivore,6,Low,Non-smoker,None,Low,Insufficient,Good,Sports,Strong,None,Moderate,Minimal,Good,2
Sedentary,Mediterranean,9,Low,Non-smoker,Occasional,None,Adequate,Excellent,Sports,Strong,Regular,Low,Minimal,Poor,0
Moderate,Omnivore,9,Moderate,Smoker,Occasional,Low,Insufficient,Good,Traveling,Weak,Regular,Moderate,Excessive,Poor,2
Moderate,Omnivore,11,High,Smoker,Occasional,Low,Insufficient,Excellent,Reading,Moderate,Occasional,High,Minimal,Good,2
Sedentary,Vegan,4,Low,Smoker,None,High,Insufficient,Excellent,Sports,Moderate,Occasional,Moderate,Minimal,Average,0
Sedentary,Keto,11,Low,Non-smoker,Regular,Low,Adequate,Good,Music,Strong,Regular,High,Excessive,Good,2
Moderate,Keto,4,Low,Former Smoker,Occasional,Low,Insufficient,Poor,Sports,Moderate,Occasional,Moderate,Minimal,Poor,1
Active,Vegetarian,8,Moderate,Smoker,None,None,Adequate,Good,Reading,Weak,Occasional,Moderate,Moderate,Poor,0
Moderate,Omnivore,10,Low,Former Smoker,None,High,Insufficient,Fair,Traveling,Moderate,Occasional,Low,Minimal,Average,2
Moderate,Vegetarian,7,Low,Non-smoker,Occasional,None,Adequate,Good,Traveling,Strong,Occasional,Moderate,Minimal,Good,0
Active,Vegan,7,Moderate,Non-smoker,None,High,Insufficient,Poor,Reading,Weak,Occasional,Low,Minimal,Good,2
Sedentary,Mediterranean,10,Low,Former Smoker,Regular,Low,Insufficient,Poor,Reading,Weak,Regular,Moderate,Moderate,Good,1
Moderate,Vegetarian,11,Low,Non-smoker,None,High,Insufficient,Excellent,Traveling,Strong,None,Moderate,Minimal,Poor,2
Moderate,Omnivore,10,Moderate,Non-smoker,Occasional,None,Insufficient,Fair,Reading,Strong,Regular,Moderate,Moderate,Poor,3
Active,Keto,12,Low,Smoker,Regular,High,Adequate,Poor,Reading,Moderate,None,Moderate,Excessive,Poor,0
Sedentary,Vegetarian,12,High,Smoker,Occasional,None,Adequate,Excellent,Sports,Weak,Occasional,Low,Moderate,Average,0
Moderate,Mediterranean,6,High,Non-smoker,Occasional,None,Adequate,Excellent,Reading,Weak,None,Low,Minimal,Poor,0
Sedentary,Mediterranean,9,High,Former Smoker,Occasional,None,Adequate,Excellent,Sports,Moderate,Occasional,Moderate,Moderate,Poor,0
Moderate,Vegetarian,6,Moderate,Former Smoker,Occasional,Low,Adequate,Fair,Sports,Strong,None,High,Excessive,Poor,1
Sedentary,Keto,10,Moderate,Smoker,Occasional,None,Insufficient,Fair,Sports,Moderate,Regular,Low,Excessive,Average,1
Moderate,Vegetarian,7,High,Non-smoker,Regular,High,Insufficient,Fair,Music,Moderate,Occasional,High,Moderate,Poor,1
Moderate,Omnivore,11,High,Non-smoker,Occasional,Low,Adequate,Poor,Reading,Strong,Regular,Moderate,Excessive,Good,2
Moderate,Omnivore,9,Low,Former Smoker,Occasional,None,Insufficient,Fair,Traveling,Moderate,None,High,Moderate,Poor,3
Sedentary,Mediterranean,11,Moderate,Former Smoker,Regular,Low,Adequate,Excellent,Music,Moderate,Regular,Low,Excessive,Average,1
Moderate,Vegetarian,7,High,Non-smoker,Occasional,High,Adequate,Fair,Reading,Weak,Occasional,Moderate,Moderate,Poor,3
Moderate,Vegan,12,Low,Smoker,Regular,None,Adequate,Good,Sports,Strong,None,Moderate,Minimal,Average,0
Moderate,Vegetarian,6,Low,Non-smoker,Occasional,High,Adequate,Fair,Sports,Strong,Regular,High,Minimal,Average,1
Moderate,Omnivore,8,Moderate,Non-smoker,Regular,None,Adequate,Excellent,Traveling,Moderate,Occasional,High,Moderate,Average,1
Sedentary,Vegetarian,8,Moderate,Former Smoker,Occasional,Low,Insufficient,Fair,Music,Strong,None,High,Excessive,Average,1
Sedentary,Vegetarian,10,Moderate,Former Smoker,None,None,Adequate,Fair,Reading,Strong,Occasional,High,Excessive,Average,1
Active,Vegetarian,7,Low,Former Smoker,Occasional,Low,Insufficient,Good,Sports,Weak,Regular,Moderate,Moderate,Average,1
Sedentary,Keto,6,High,Former Smoker,Regular,High,Insufficient,Excellent,Traveling,Weak,Regular,Low,Excessive,Good,2
Active,Vegetarian,6,High,Non-smoker,Regular,None,Adequate,Poor,Traveling,Weak,Occasional,High,Moderate,Average,1
Active,Keto,4,High,Smoker,Regular,None,Insufficient,Good,Reading,Strong,Occasional,Low,Minimal,Average,2
Sedentary,Vegan,4,High,Former Smoker,Regular,Low,Insufficient,Good,Reading,Weak,None,High,Moderate,Poor,0
Active,Vegan,9,Low,Former Smoker,Regular,None,Adequate,Excellent,Traveling,Strong,None,Low,Minimal,Good,0
Sedentary,Vegan,6,High,Non-smoker,None,Low,Insufficient,Excellent,Music,Weak,Regular,Low,Moderate,Poor,2
Sedentary,Mediterranean,7,Moderate,Former Smoker,Occasional,None,Insufficient,Poor,Traveling,Weak,Regular,High,Moderate,Average,1
Moderate,Vegetarian,5,Low,Smoker,None,None,Adequate,Fair,Sports,Moderate,Occasional,High,Moderate,Average,1
Active,Vegan,12,High,Non-smoker,Occasional,Low,Insufficient,Poor,Reading,Strong,Occasional,Low,Minimal,Average,2
Moderate,Keto,8,Low,Smoker,None,Low,Adequate,Fair,Sports,Strong,Occasional,High,Excessive,Good,2
Sedentary,Vegetarian,4,Moderate,Non-smoker,Regular,High,Insufficient,Good,Music,Strong,None,Low,Minimal,Average,0
Sedentary,Vegetarian,6,Low,Non-smoker,Occasional,High,Adequate,Excellent,Reading,Strong,None,Moderate,Minimal,Average,0
Sedentary,Vegetarian,10,Moderate,Smoker,Occasional,Low,Insufficient,Excellent,Traveling,Weak,Regular,High,Excessive,Poor,1
Moderate,Mediterranean,10,Low,Former Smoker,Occasional,High,Insufficient,Fair,Sports,Moderate,None,Moderate,Excessive,Poor,3
Active,Mediterranean,8,Moderate,Non-smoker,Occasional,None,Adequate,Excellent,Sports,Moderate,None,High,Excessive,Good,1
Active,Vegetarian,12,Moderate,Former Smoker,Occasional,Low,Insufficient,Fair,Sports,Moderate,Occasional,Moderate,Minimal,Average,1
Moderate,Vegetarian,4,Moderate,Former Smoker,None,High,Adequate,Good,Reading,Strong,Regular,High,Minimal,Poor,0
Active,Vegan,10,Moderate,Non-smoker,None,None,Adequate,Excellent,Traveling,Moderate,None,High,Minimal,Average,1
Sedentary,Vegetarian,9,Moderate,Non-smoker,None,High,Adequate,Poor,Sports,Strong,Regular,High,Excessive,Good,1
Moderate,Keto,11,Moderate,Non-smoker,Occasional,High,Insufficient,Fair,Music,Moderate,Regular,Moderate,Moderate,Good,3
Moderate,Vegan,8,Low,Smoker,Occasional,High,Insufficient,Poor,Traveling,Strong,None,Moderate,Moderate,Average,3
Active,Vegan,6,High,Non-smoker,Occasional,None,Insufficient,Excellent,Sports,Moderate,Regular,Low,Minimal,Good,2
Sedentary,Vegan,7,Moderate,Former Smoker,None,Low,Insufficient,Fair,Reading,Weak,None,Moderate,Minimal,Poor,0
Sedentary,Vegetarian,5,Moderate,Non-smoker,Occasional,Low,Adequate,Excellent,Sports,Moderate,Occasional,High,Minimal,Average,1
Active,Vegetarian,11,Moderate,Non-smoker,Occasional,None,Insufficient,Good,Reading,Weak,Occasional,Low,Minimal,Good,0
Active,Vegan,5,Moderate,Former Smoker,Occasional,None,Insufficient,Good,Reading,Moderate,None,Moderate,Moderate,Average,1
Moderate,Keto,11,Low,Smoker,Regular,Low,Adequate,Poor,Traveling,Moderate,Regular,High,Moderate,Poor,1
Active,Keto,7,Low,Non-smoker,None,None,Insufficient,Fair,Music,Weak,Occasional,Moderate,Moderate,Poor,0
Active,Omnivore,6,Moderate,Former Smoker,None,Low,Adequate,Good,Sports,Weak,Regular,Moderate,Moderate,Good,1
Active,Mediterranean,8,High,Former Smoker,Regular,Low,Insufficient,Poor,Music,Strong,Regular,Moderate,Minimal,Average,1
Moderate,Omnivore,9,High,Non-smoker,None,None,Insufficient,Good,Reading,Strong,None,Low,Moderate,Average,2
Moderate,Omnivore,10,Moderate,Smoker,Occasional,Low,Adequate,Fair,Reading,Strong,None,Moderate,Excessive,Average,3
Sedentary,Vegetarian,11,Moderate,Former Smoker,None,None,Insufficient,Good,Traveling,Moderate,Occasional,Moderate,Minimal,Average,1
Sedentary,Vegan,11,High,Smoker,Regular,None,Insufficient,Good,Sports,Strong,Regular,High,Excessive,Poor,0
Sedentary,Keto,9,Low,Non-smoker,None,Low,Insufficient,Fair,Traveling,Weak,None,Low,Excessive,Poor,2
Active,Omnivore,6,High,Former Smoker,None,None,Adequate,Excellent,Music,Weak,None,Low,Minimal,Poor,0
Active,Vegetarian,12,Moderate,Smoker,None,Low,Insufficient,Good,Traveling,Weak,None,Moderate,Moderate,Poor,1
Moderate,Keto,10,Moderate,Non-smoker,Occasional,Low,Insufficient,Excellent,Traveling,Moderate,Regular,High,Excessive,Average,1
Active,Mediterranean,12,High,Non-smoker,Regular,None,Adequate,Poor,Reading,Strong,Regular,Low,Moderate,Poor,0
Active,Omnivore,12,High,Former Smoker,Regular,None,Insufficient,Excellent,Sports,Moderate,Regular,Low,Excessive,Average,1
Moderate,Vegan,4,Moderate,Former Smoker,None,High,Insufficient,Poor,Traveling,Weak,Regular,High,Moderate,Average,1
Moderate,Vegan,5,Moderate,Smoker,Regular,Low,Adequate,Poor,Sports,Weak,None,Low,Minimal,Average,0
Active,Mediterranean,6,High,Non-smoker,Regular,High,Adequate,Good,Music,Weak,Regular,Moderate,Excessive,Poor,3
Moderate,Mediterranean,9,High,Former Smoker,None,None,Adequate,Fair,Sports,Moderate,None,Moderate,Excessive,Average,3
Active,Mediterranean,11,High,Non-smoker,None,Low,Adequate,Excellent,Traveling,Moderate,None,Moderate,Minimal,Average,2
Moderate,Vegetarian,8,High,Former Smoker,Regular,Low,Insufficient,Poor,Sports,Weak,None,High,Excessive,Poor,1
Sedentary,Omnivore,12,Moderate,Smoker,Regular,High,Insufficient,Excellent,Sports,Moderate,None,High,Moderate,Poor,1
Moderate,Omnivore,4,Low,Smoker,None,Low,Adequate,Good,Music,Moderate,Regular,Low,Moderate,Poor,0
Active,Keto,11,Moderate,Former Smoker,Occasional,High,Adequate,Poor,Music,Weak,Regular,High,Minimal,Average,1
Active,Keto,8,Low,Former Smoker,Regular,None,Insufficient,Poor,Sports,Moderate,Occasional,Moderate,Minimal,Good,1
Active,Vegan,8,Low,Smoker,Regular,Low,Insufficient,Poor,Music,Strong,None,High,Excessive,Average,1
Moderate,Omnivore,10,Moderate,Smoker,Occasional,None,Adequate,Excellent,Music,Strong,Regular,High,Minimal,Average,0
Active,Vegan,11,Low,Former Smoker,None,None,Adequate,Good,Music,Weak,Occasional,Moderate,Moderate,Average,3
Moderate,Vegan,9,High,Smoker,Regular,Low,Insufficient,Poor,Music,Moderate,Occasional,Moderate,Minimal,Good,2
Moderate,Vegetarian,4,Moderate,Former Smoker,Occasional,High,Adequate,Excellent,Traveling,Strong,Regular,Low,Excessive,Poor,2
Moderate,Omnivore,8,Low,Non-smoker,Regular,High,Adequate,Fair,Reading,Moderate,Occasional,Low,Moderate,Poor,0
Moderate,Omnivore,10,Moderate,Non-smoker,Regular,High,Adequate,Good,Reading,Weak,Occasional,Moderate,Moderate,Average,3
Sedentary,Vegetarian,12,Low,Former Smoker,Occasional,Low,Insufficient,Good,Traveling,Strong,None,Low,Minimal,Average,0
Moderate,Vegan,9,Low,Non-smoker,Occasional,Low,Adequate,Fair,Reading,Strong,None,High,Minimal,Poor,0
Active,Vegetarian,9,Low,Former Smoker,Regular,Low,Adequate,Good,Sports,Strong,Regular,Low,Moderate,Average,1
Active,Vegetarian,11,High,Smoker,Occasional,Low,Adequate,Good,Music,Strong,Occasional,High,Moderate,Poor,3
Moderate,Vegan,6,Low,Non-smoker,Regular,High,Insufficient,Good,Sports,Strong,Occasional,Moderate,Excessive,Good,2
Moderate,Omnivore,6,High,Non-smoker,None,Low,Adequate,Excellent,Sports,Strong,Occasional,Moderate,Moderate,Poor,2
Sedentary,Mediterranean,11,Moderate,Smoker,Regular,Low,Adequate,Excellent,Traveling,Strong,Occasional,Low,Excessive,Poor,0
Sedentary,Mediterranean,9,High,Smoker,None,Low,Adequate,Good,Traveling,Weak,None,Low,Excessive,Good,0
Sedentary,Mediterranean,8,High,Former Smoker,None,High,Adequate,Poor,Music,Weak,Occasional,Moderate,Minimal,Average,3
Sedentary,Mediterranean,6,High,Smoker,None,None,Insufficient,Fair,Traveling,Moderate,None,High,Excessive,Poor,0
Active,Vegan,6,Low,Non-smoker,Regular,High,Insufficient,Excellent,Traveling,Moderate,Occasional,High,Excessive,Good,2
Sedentary,Vegan,8,Low,Smoker,Regular,Low,Insufficient,Good,Sports,Moderate,Occasional,Moderate,Minimal,Good,1
Sedentary,Vegan,7,High,Former Smoker,None,Low,Insufficient,Poor,Sports,Weak,None,Low,Excessive,Poor,0
Sedentary,Vegetarian,4,High,Non-smoker,Regular,Low,Insufficient,Poor,Reading,Strong,Occasional,High,Excessive,Average,1
Moderate,Keto,7,Low,Non-smoker,Occasional,Low,Adequate,Excellent,Reading,Moderate,None,Low,Excessive,Poor,0
Active,Omnivore,8,Moderate,Non-smoker,Occasional,High,Adequate,Excellent,Reading,Moderate,Occasional,Low,Moderate,Average,1
Active,Omnivore,7,Moderate,Non-smoker,None,Low,Adequate,Poor,Music,Moderate,Regular,High,Minimal,Average,1
Sedentary,Keto,10,Low,Non-smoker,None,Low,Insufficient,Good,Sports,Weak,Regular,Moderate,Moderate,Good,2
Sedentary,Omnivore,12,High,Smoker,Occasional,Low,Insufficient,Good,Music,Weak,Occasional,Moderate,Minimal,Good,3
Moderate,Keto,4,Moderate,Non-smoker,Occasional,None,Adequate,Excellent,Music,Strong,Regular,Moderate,Minimal,Good,3
Active,Vegan,12,Low,Non-smoker,None,Low,Adequate,Good,Music,Weak,None,High,Moderate,Poor,0
Sedentary,Vegetarian,6,Low,Smoker,Regular,High,Adequate,Good,Traveling,Strong,Regular,Moderate,Moderate,Poor,0
Active,Vegetarian,12,Low,Former Smoker,Occasional,High,Adequate,Excellent,Music,Weak,Regular,Moderate,Moderate,Good,3
Sedentary,Mediterranean,4,Low,Non-smoker,Occasional,Low,Adequate,Excellent,Sports,Strong,Occasional,High,Moderate,Average,0
Sedentary,Mediterranean,4,High,Smoker,Regular,Low,Insufficient,Fair,Sports,Weak,Occasional,Low,Moderate,Poor,0
Sedentary,Omnivore,12,Low,Former Smoker,None,Low,Insufficient,Good,Sports,Weak,Regular,Low,Excessive,Good,2
Sedentary,Keto,11,High,Smoker,Occasional,None,Insufficient,Good,Music,Moderate,Regular,Low,Minimal,Good,0
Sedentary,Keto,10,Moderate,Non-smoker,Regular,High,Insufficient,Excellent,Reading,Moderate,Occasional,Low,Moderate,Average,1
Active,Mediterranean,6,Moderate,Former Smoker,None,Low,Insufficient,Excellent,Reading,Weak,Occasional,High,Moderate,Good,1
Active,Omnivore,7,Moderate,Non-smoker,Occasional,Low,Insufficient,Excellent,Sports,Weak,None,High,Excessive,Poor,1
Sedentary,Vegetarian,7,Moderate,Smoker,None,Low,Adequate,Poor,Sports,Moderate,None,Moderate,Moderate,Average,1
Sedentary,Vegan,4,High,Non-smoker,Occasional,Low,Adequate,Poor,Traveling,Strong,Regular,Low,Moderate,Average,2
Moderate,Mediterranean,12,Low,Non-smoker,None,High,Adequate,Poor,Reading,Weak,Occasional,Low,Minimal,Poor,0
Active,Keto,4,Low,Former Smoker,Occasional,None,Adequate,Fair,Reading,Moderate,None,Low,Minimal,Poor,0
Sedentary,Mediterranean,6,High,Former Smoker,None,Low,Adequate,Poor,Music,Weak,None,High,Minimal,Poor,0
Moderate,Vegan,8,Moderate,Smoker,None,None,Adequate,Poor,Traveling,Strong,None,Moderate,Moderate,Good,3
Moderate,Keto,5,Low,Smoker,Occasional,High,Adequate,Excellent,Traveling,Moderate,Occasional,High,Minimal,Good,0
Active,Keto,11,Low,Former Smoker,Regular,None,Adequate,Excellent,Traveling,Strong,Occasional,Low,Moderate,Poor,0
Active,Keto,10,Moderate,Smoker,Regular,None,Adequate,Good,Reading,Weak,Occasional,High,Minimal,Average,0
Moderate,Vegetarian,6,Moderate,Non-smoker,Regular,High,Insufficient,Excellent,Music,Strong,None,High,Excessive,Poor,2
Active,Vegetarian,7,Low,Former Smoker,Occasional,Low,Adequate,Good,Sports,Moderate,None,Moderate,Minimal,Poor,0
Moderate,Omnivore,5,High,Former Smoker,Regular,High,Insufficient,Good,Reading,Weak,Occasional,High,Minimal,Average,1
Active,Vegan,12,High,Non-smoker,Regular,High,Insufficient,Poor,Music,Strong,Regular,High,Minimal,Poor,1
Sedentary,Mediterranean,7,Low,Former Smoker,None,Low,Insufficient,Excellent,Music,Moderate,Occasional,Low,Minimal,Good,0
Active,Vegetarian,10,Moderate,Former Smoker,None,High,Adequate,Excellent,Reading,Strong,Occasional,High,Minimal,Good,3
Moderate,Omnivore,8,Low,Smoker,Regular,High,Insufficient,Fair,Reading,Weak,None,High,Moderate,Average,1
Sedentary,Vegetarian,5,Moderate,Non-smoker,Regular,Low,Adequate,Fair,Music,Weak,Occasional,High,Moderate,Poor,1
Moderate,Omnivore,6,High,Former Smoker,None,Low,Insufficient,Fair,Reading,Weak,Regular,High,Excessive,Average,2
Moderate,Omnivore,9,Low,Former Smoker,None,High,Adequate,Poor,Music,Weak,Occasional,High,Minimal,Average,3
Active,Keto,11,High,Non-smoker,None,High,Insufficient,Poor,Traveling,Weak,Occasional,High,Moderate,Good,2
Active,Vegan,5,High,Non-smoker,None,Low,Insufficient,Good,Music,Moderate,Regular,Low,Excessive,Average,2
Moderate,Omnivore,10,High,Former Smoker,Occasional,High,Adequate,Good,Reading,Strong,Regular,Moderate,Moderate,Average,3
Sedentary,Vegetarian,4,Low,Non-smoker,Occasional,High,Insufficient,Poor,Sports,Moderate,None,Moderate,Excessive,Average,1
Active,Vegan,5,Low,Former Smoker,Occasional,Low,Adequate,Excellent,Sports,Moderate,Occasional,Moderate,Excessive,Good,3
Sedentary,Keto,9,High,Smoker,Regular,None,Insufficient,Excellent,Music,Moderate,None,Moderate,Minimal,Average,0
Moderate,Mediterranean,5,Low,Smoker,Regular,None,Insufficient,Good,Music,Strong,None,Moderate,Minimal,Good,0
Sedentary,Keto,8,Moderate,Smoker,Occasional,High,Adequate,Excellent,Reading,Strong,Regular,High,Excessive,Average,0
Sedentary,Keto,7,High,Smoker,Occasional,High,Adequate,Good,Sports,Strong,Occasional,High,Minimal,Poor,0
Active,Keto,4,Moderate,Former Smoker,Occasional,High,Adequate,Poor,Music,Moderate,Regular,Low,Minimal,Good,3
Moderate,Omnivore,11,Low,Non-smoker,Regular,None,Adequate,Excellent,Reading,Weak,Occasional,Low,Excessive,Good,0
Moderate,Omnivore,8,Moderate,Smoker,Regular,None,Adequate,Fair,Sports,Weak,Occasional,Low,Excessive,Good,0
Sedentary,Mediterranean,7,High,Former Smoker,Regular,High,Insufficient,Fair,Traveling,Moderate,Occasional,Moderate,Excessive,Average,1
Sedentary,Vegetarian,4,Moderate,Non-smoker,Occasional,High,Adequate,Poor,Traveling,Strong,Regular,High,Moderate,Average,1
Active,Mediterranean,8,Low,Former Smoker,None,High,Adequate,Fair,Sports,Weak,Occasional,Moderate,Minimal,Average,3
Active,Omnivore,10,Low,Smoker,None,High,Adequate,Fair,Music,Moderate,None,Low,Excessive,Average,3
Active,Mediterranean,12,High,Smoker,Regular,None,Insufficient,Fair,Sports,Strong,None,High,Excessive,Good,3
Active,Mediterranean,6,Moderate,Non-smoker,None,High,Adequate,Fair,Sports,Weak,None,Moderate,Moderate,Poor,3
Active,Mediterranean,4,Moderate,Former Smoker,Regular,High,Adequate,Poor,Reading,Weak,None,High,Excessive,Average,1
Active,Mediterranean,5,High,Former Smoker,Regular,Low,Adequate,Fair,Sports,Strong,Occasional,High,Minimal,Good,3
Sedentary,Keto,9,Low,Smoker,Occasional,High,Adequate,Good,Sports,Weak,None,Moderate,Minimal,Average,0
Sedentary,Vegan,6,Moderate,Non-smoker,None,Low,Insufficient,Poor,Sports,Weak,None,High,Minimal,Good,1
Moderate,Vegan,5,Moderate,Smoker,None,Low,Adequate,Fair,Reading,Moderate,None,High,Moderate,Good,1
Moderate,Vegetarian,5,High,Former Smoker,Occasional,Low,Insufficient,Fair,Traveling,Moderate,Occasional,Low,Moderate,Average,1
Active,Mediterranean,5,High,Former Smoker,Regular,None,Insufficient,Fair,Traveling,Moderate,Occasional,High,Minimal,Average,1
Moderate,Vegan,12,High,Non-smoker,Regular,Low,Insufficient,Excellent,Reading,Moderate,None,Low,Minimal,Average,2
Moderate,Mediterranean,4,Moderate,Non-smoker,Regular,None,Adequate,Excellent,Reading,Strong,Regular,Low,Minimal,Poor,0
Active,Vegetarian,5,Low,Smoker,Regular,High,Insufficient,Poor,Sports,Weak,Regular,Low,Minimal,Poor,1
Sedentary,Vegan,8,Moderate,Non-smoker,None,None,Insufficient,Fair,Reading,Strong,Occasional,Moderate,Moderate,Good,2
Active,Keto,10,Moderate,Non-smoker,Occasional,High,Insufficient,Good,Sports,Strong,Occasional,High,Moderate,Good,2
Moderate,Keto,8,Low,Smoker,Occasional,Low,Insufficient,Fair,Traveling,Moderate,Regular,High,Moderate,Average,1
Active,Vegan,7,Low,Former Smoker,Occasional,None,Insufficient,Poor,Music,Strong,None,Low,Minimal,Good,0
Active,Vegan,11,Low,Former Smoker,Occasional,Low,Adequate,Excellent,Sports,Strong,None,Low,Moderate,Good,3
Active,Mediterranean,8,Low,Smoker,Occasional,Low,Adequate,Fair,Reading,Weak,Occasional,High,Excessive,Good,0
Sedentary,Mediterranean,7,Low,Former Smoker,None,High,Adequate,Excellent,Reading,Strong,Occasional,Low,Moderate,Poor,0
Sedentary,Keto,11,Moderate,Former Smoker,Regular,High,Adequate,Excellent,Traveling,Moderate,Regular,Moderate,Moderate,Good,1
Moderate,Vegetarian,11,High,Non-smoker,Occasional,High,Adequate,Excellent,Sports,Moderate,Occasional,High,Moderate,Average,1
Moderate,Vegetarian,10,High,Former Smoker,Regular,Low,Adequate,Excellent,Reading,Strong,Occasional,Moderate,Moderate,Good,3
Moderate,Vegetarian,4,High,Former Smoker,None,None,Insufficient,Good,Reading,Weak,Regular,Low,Moderate,Poor,0
Moderate,Vegetarian,10,High,Smoker,Regular,None,Insufficient,Fair,Traveling,Strong,Occasional,High,Moderate,Poor,2
Sedentary,Mediterranean,12,Moderate,Former Smoker,None,Low,Adequate,Fair,Traveling,Weak,Regular,Low,Moderate,Poor,0
Active,Keto,5,High,Former Smoker,Occasional,High,Insufficient,Fair,Reading,Moderate,Occasional,Low,Excessive,Average,2
